Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Year,Primary Breach Type,Business Associate Present,has_narrative,Primary Vector,vec: Ransomware,vec: Phishing / email compromise,vec: Other hacking / IT intrusion,vec: Insider snooping / misuse,vec: Stolen device / burglary,vec: Lost device / records,vec: Improper disposal,vec: Misdirected / inadvertent disclosure,rem: New/updated safeguards,rem: Staff retrained,rem: Credit monitoring offered,rem: Corrective action plan,rem: OCR technical assistance,rem: Discipline / termination,rem: Encryption implemented,rem: Policies revised
King County Public Hospital District No. 2 d/b/a EvergreenHealth,WA,Healthcare Provider,20533.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Montefiore Medical Center,NY,Healthcare Provider,3717.0,2022,Unauthorized Access/Disclosure,No,True,Insider snooping / misuse,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
The Mental Health Center of Greater Manchester,NH,Healthcare Provider,1322.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False
"Illinois Gastroenterology Group, PLLC",IL,Healthcare Provider,227943.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
JM Pension Advisory Inc.,MD,Business Associate,897.0,2022,Loss,Yes,True,Lost device / records,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False
"National Imaging Associates, Inc.",MD,Business Associate,616.0,2022,Unauthorized Access/Disclosure,Yes,True,Insider snooping / misuse,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False
Homestead Building Systems,VA,Health Plan,727.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False
The Energy Cooperative Group Benefits Plan,OH,Health Plan,875.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,5129.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,True,True,False,True,False,True,False,False,False
"Healthplex, Inc.",NY,Health Plan,89955.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False
La Casa de Salud,NY,Healthcare Provider,9969.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
"Wayne Family Practice Associates, PC",GA,Healthcare Provider,5944.0,2022,Hacking/IT Incident,No,True,Other / unspecified,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Fairfield County Implants and Periodontics, LLC",CT,Healthcare Provider,10502.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
"Optima Dermatology Holdings, LLC",NH,Healthcare Provider,59872.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False
"HealthActions, P.A.",AL,Healthcare Provider,3653.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Canon Business Process Services Inc,NY,Business Associate,1625.0,2022,Unauthorized Access/Disclosure,Yes,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
Canon Business Process Services Inc,NY,Business Associate,745.0,2022,Unauthorized Access/Disclosure,Yes,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
Canon Business Process Services Inc,NY,Business Associate,8015.0,2022,Unauthorized Access/Disclosure,Yes,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False
Spectrum Health System,MI,Healthcare Provider,794.0,2022,Unauthorized Access/Disclosure,No,True,Insider snooping / misuse,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
Central Florida Cardiology Group,FL,Healthcare Provider,1186.0,2022,Hacking/IT Incident,Yes,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False
New Creation Counseling Center,OH,Healthcare Provider,24029.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
Newman Regional Health,KS,Healthcare Provider,52224.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
Mountain Area Health Education Center dba MAHEC,NC,Healthcare Provider,1115.0,2022,Improper Disposal,No,True,Improper disposal,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False
OneHome Health Solutions,FL,Healthcare Provider,15401.0,2022,Theft,No,True,Other / unspecified,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Lutheran Services Carolinas,NC,Business Associate,1226.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False,False
Adaptive Health Integrations,ND,Healthcare Provider,510574.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
"Healthcare Collections - I, LLC",AZ,Business Associate,900.0,2022,Unauthorized Access/Disclosure,Yes,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
Chinese Community Health Plan,CA,Health Plan,502.0,2022,Unauthorized Access/Disclosure,No,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False
Von Behren & Hunter LLP,CA,Business Associate,5852.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False
Altoona Area School District,PA,Health Plan,9196.0,2022,Hacking/IT Incident,No,True,Ransomware,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False
The MetroHealth System,OH,Healthcare Provider,1748.0,2022,Unauthorized Access/Disclosure,No,True,Other / unspecified,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
"Pediatric Associates, P.C.",VA,Healthcare Provider,13000.0,2022,Hacking/IT Incident,Yes,True,Ransomware,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False
Ballad Health,TN,Healthcare Provider,4295.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False
Georgia Pines CSB,GA,Healthcare Provider,24000.0,2022,Theft,No,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False
"WellStar Health System, Inc.",GA,Healthcare Provider,30417.0,2022,Hacking/IT Incident,No,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
East Tennessee Children's Hospital,TN,Healthcare Provider,501.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False
SummaCare Inc,OH,Health Plan,716.0,2022,Unauthorized Access/Disclosure,No,True,Misdirected / inadvertent disclosure,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
Bishop Eye Center,SC,Healthcare Provider,2292.0,2022,Hacking/IT Incident,No,True,Other hacking / IT intrusion,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False
Advantage Benefits Group,MI,Business Associate,7147.0,2022,Hacking/IT Incident,Yes,True,Phishing / email compromise,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False
