Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
The Bengtson Center for Aesthetics and Plastic Surgery,MI,Healthcare Provider,935.0,2024-02-05,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Desktop Computer, Network Server",No,Archived,1
Kentucky Cabinet for Health and Family Services,KY,Health Plan,857.0,2024-02-05,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,2
Spectrum Vision Partners,NY,Business Associate,592237.0,2024-02-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Greater Cincinnati Behavioral Health Services,OH,Healthcare Provider,50000.0,2024-02-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
East Side Health District,IL,Healthcare Provider,559.0,2024-02-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Health Alliance Medical Plans,IL,Health Plan,6900.0,2024-02-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Bloom Health Centers,MD,Healthcare Provider,1954.0,2024-02-01,2024,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Capital Health System, Inc.",NJ,Healthcare Provider,503071.0,2024-01-31,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Crescent Community Health Center,IA,Healthcare Provider,20529.0,2024-01-31,2024,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Coppola Physical Therapy and Fitness Gyms,NH,Healthcare Provider,632.0,2024-01-31,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,Yes,Archived,1
Saint Anthony Health Ministries,IL,Healthcare Provider,360220.0,2024-01-30,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Bay Area Heart Center, PA",FL,Healthcare Provider,11709.0,2024-01-30,2024,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,0
Veterans Health Administration,DC,Healthcare Provider,46677.0,2024-01-30,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Allies for Health + Wellbeing,PA,Healthcare Provider,680.0,2024-01-30,2024,Hacking/IT Incident,Hacking/IT Incident,"Email, Other",No,Archived,0
"OrthoArkansas, PA Employee Benefit Plan",AR,Health Plan,1270.0,2024-01-29,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
"Sun Pain Management, LLC",AZ,Healthcare Provider,2988.0,2024-01-27,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
CNO ACE,IN,Health Plan,65295.0,2024-01-26,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Kern Regional Center,CA,Healthcare Provider,772.0,2024-01-26,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Artesia General Hospital,NM,Healthcare Provider,2931.0,2024-01-26,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
INTEGRIS Health,OK,Healthcare Provider,2385646.0,2024-01-26,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Nabholz Construction Company Employee Welfare Health Plan,AR,Health Plan,5326.0,2024-01-26,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
United Regional Health Care System,TX,Healthcare Provider,36900.0,2024-01-26,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"PruittHealth, Inc.",GA,Business Associate,56405.0,2024-01-26,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Marian Village Corporation, d/b/a/ Marywood Nursing Care Center (“Marywood”)",MI,Healthcare Provider,6178.0,2024-01-24,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
FedEx Corporation Group Health Plan,TN,Health Plan,553.0,2024-01-24,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
"Webber Chiropractic Sports Clinic, Inc.",WA,Healthcare Provider,1695.0,2024-01-23,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Des Moines Orthopaedic Surgeons, P.C.",IA,Business Associate,55055.0,2024-01-23,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"J.D. Gilmour & Co., Inc.",CA,Business Associate,2570.0,2024-01-22,2024,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Coastal Hospice & Palliative Care,MD,Healthcare Provider,29100.0,2024-01-22,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"AHS Management Company, Inc.",TN,Business Associate,38361.0,2024-01-22,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Humana Inc.,KY,Health Plan,12539.0,2024-01-22,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
"Des Moines Orthopaedic Surgeons, P.C.",IA,Healthcare Provider,307864.0,2024-01-22,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Catholic Charities of the Archdiocese of Miami, Inc.",FL,Healthcare Provider,1170.0,2024-01-22,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Omaha Firefighters Healthcare Trust,NE,Health Plan,3567.0,2024-01-20,2024,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
Mount Vernon Dental Smiles,VA,Healthcare Provider,1074.0,2024-01-19,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
Columbus Regional Healthcare System,NC,Healthcare Provider,132887.0,2024-01-19,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Native American Health Center,CA,Healthcare Provider,4231.0,2024-01-18,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Regence BlueCross BlueShield of Oregon,OR,Health Plan,856.0,2024-01-18,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,2
"Walker, Inc. d/b/a Walker Therapeutic & Educational Programs",MA,Healthcare Provider,846.0,2024-01-18,2024,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
TGI Direct,MI,Business Associate,11556.0,2024-01-17,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Brady Martz & Associates PC,ND,Business Associate,13655.0,2024-01-17,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Dickinson County Health Department,KS,Healthcare Provider,1063.0,2024-01-17,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Desktop Computer,No,Archived,1
"CR Pharmacy Services, Inc. d/b/a CarePro",IA,Healthcare Provider,151499.0,2024-01-15,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Colorado Ophthalmology Associates, PC",CO,Healthcare Provider,6020.0,2024-01-13,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"HORNE, LLP",MS,Business Associate,170052.0,2024-01-13,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Azura Vascular Care,PA,Business Associate,348000.0,2024-01-13,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Lester and Rosalie Anixter Center,IL,Healthcare Provider,6194.0,2024-01-12,2024,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Pacific Cataract and Laser Institute, Inc., P.C.",WA,Healthcare Provider,9967.0,2024-01-12,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Covenant Care California, LLC",CA,Healthcare Provider,501.0,2024-01-12,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Summit Medical Group, PLLC",TN,Healthcare Provider,4135.0,2024-01-12,2024,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Air Methods, LLC",NV,Healthcare Provider,34063.0,2024-01-12,2024,Theft,Theft,Laptop,No,Archived,4
Family Healthcare Center,ND,Healthcare Provider,6457.0,2024-01-11,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Hampton-Newport News Community Services Board,VA,Healthcare Provider,44312.0,2024-01-11,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
InHealth Technologies,CA,Healthcare Provider,12143.0,2024-01-09,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Burr & Forman LLP,AL,Business Associate,19893.0,2024-01-09,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Coastal Plains Community Mental Health Mental Retardation Center,TX,Healthcare Provider,45357.0,2024-01-09,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Concentra Health Services, Inc.",TX,Healthcare Provider,3998163.0,2024-01-09,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Psychological Holdings, PLLC d/b/a Senior PsychCare",TX,Healthcare Provider,75349.0,2024-01-08,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Sharp Health Plan,CA,Health Plan,8200.0,2024-01-08,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,2
Sharp Health Plan,CA,Health Plan,9255.0,2024-01-08,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Catholic Heath Initiative Trinity Medical Center,OH,Healthcare Provider,797.0,2024-01-08,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Dignity Health Nevada St. Rose Dominican Hospital,NV,Healthcare Provider,2652.0,2024-01-08,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
The Harris Center for Mental Health and IDD,TX,Healthcare Provider,545001.0,2024-01-05,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Daleville Dental II LLC,AL,Healthcare Provider,5280.0,2024-01-05,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Veterans Health Administration,DC,Healthcare Provider,2380.0,2024-01-05,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
Tampa Bay Surgical Group,FL,Healthcare Provider,1107.0,2024-01-05,2024,Loss,Loss,Other Portable Electronic Device,No,Archived,1
"Cooper Clinic, P.A.",TX,Healthcare Provider,124341.0,2024-01-05,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Fincantieri Marine Group, LLC",DC,Health Plan,11535.0,2024-01-05,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
"ConsensioHealth, LLC",WI,Business Associate,60871.0,2024-01-04,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Morgan Stanley Health Benefits and Insurance Plan,NY,Health Plan,2442.0,2024-01-04,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Northern Inyo Healthcare District,CA,Healthcare Provider,1305.0,2024-01-03,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
North Kansas City Hospital,MO,Healthcare Provider,502438.0,2024-01-03,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Amerigroup Iowa, Inc",IN,Business Associate,1023.0,2024-01-03,2024,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
Midwest Long Term Care Services DBA Senior Scripts,MO,Healthcare Provider,10566.0,2024-01-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Community Tri-County Healthcare,AL,Healthcare Provider,5809.0,2024-01-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Keystone First,PA,Health Plan,1965.0,2024-01-02,2024,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
"Transformative Healthcare, on behalf of Fallon Ambulance Services",MA,Healthcare Provider,911757.0,2023-12-31,2023,Hacking/IT Incident,Hacking/IT Incident,"Electronic Medical Record, Network Server",No,Archived,0
"HMG Healthcare, LLC",TX,Healthcare Provider,80000.0,2023-12-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
EDI Health Group dba DentalXChange,CA,Healthcare Clearing House,2574.0,2023-12-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Electrostim Medical Services, Inc. d/b/A EMSI",FL,Healthcare Provider,542990.0,2023-12-28,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Medical Center Barbour,AL,Healthcare Provider,61014.0,2023-12-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Fred Hutchinson Cancer Center,WA,Healthcare Provider,20192.0,2023-12-26,2023,Loss,Loss,Laptop,No,Archived,1
Lake County Health Department and Community Health Center,IL,Healthcare Provider,5000.0,2023-12-26,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Meridian Behavioral Healthcare, Inc.",FL,Healthcare Provider,98808.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Mountain Dermatology Specialists, PC",CO,Healthcare Provider,2705.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Eye Physicians of Central Florida, PLLC, a division of Florida Pediatric Associates, LLC",FL,Healthcare Provider,31189.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Highlands Oncology Group PA,AR,Healthcare Provider,55297.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Kent County Community Mental Health Authority d/b/a Network180,MI,Healthcare Provider,59334.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
County of Los Angeles Department of Mental Health,CA,Healthcare Provider,1284.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Clay County Social Services,MN,Business Associate,123847.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
NYC Health + Hospitals,NY,Healthcare Provider,3000.0,2023-12-22,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,"Desktop Computer, Paper/Films",No,Archived,1
"The Foleck Center, LTD",VA,Healthcare Provider,6965.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Retina Group of Washington, PLLC",MD,Healthcare Provider,455935.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Fred Hutchinson Cancer Center,WA,Healthcare Provider,1840927.0,2023-12-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"RevSpring, Inc.",TN,Business Associate,1053.0,2023-12-22,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
HealthEC LLC,NJ,Business Associate,4786241.0,2023-12-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Molina Healthcare of Ohio, Inc.",CA,Health Plan,1977.0,2023-12-21,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,2
"AccessDx Laboratory, LLC",TX,Healthcare Provider,535.0,2023-12-21,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Humana Inc.,KY,Health Plan,2844.0,2023-12-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
"360 Physical Therapy, LLC",ND,Healthcare Provider,520.0,2023-12-21,2023,Theft,Theft,Paper/Films,Yes,Archived,4
"Lone Peak Physical Therapy, Inc.",MT,Healthcare Provider,5809.0,2023-12-21,2023,Theft,Theft,Paper/Films,No,Archived,4
First Choice Dental,WI,Healthcare Provider,1000.0,2023-12-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Southeastern Orthopaedic Specialists, PA",NC,Healthcare Provider,35533.0,2023-12-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Rush System for Health,IL,Healthcare Provider,4961.0,2023-12-21,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Email,No,Archived,1
"Plaza Radiology, LLC",TN,Healthcare Provider,569022.0,2023-12-20,2023,Hacking/IT Incident,Hacking/IT Incident,"Desktop Computer, Network Server",No,Archived,0
CompleteCare Health Network,NJ,Healthcare Provider,316059.0,2023-12-20,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Marathon County Special Education,WI,Healthcare Provider,10079.0,2023-12-20,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"BlueCross BlueShield of Tennessee, Inc.",TN,Health Plan,1676.0,2023-12-19,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Michigan Orthopaedic Surgeons,MI,Healthcare Provider,67477.0,2023-12-19,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
BELLIN HEALTH,WI,Healthcare Provider,20790.0,2023-12-19,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
ZOLL Medical Corporation,MA,Health Plan,8898.0,2023-12-18,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
"ESO Solutions, Inc.",TX,Business Associate,2700000.0,2023-12-18,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Dallas County,TX,Healthcare Provider,501.0,2023-12-18,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Primary Health & Wellness Center, LLC",MD,Healthcare Provider,4792.0,2023-12-17,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Community Memorial Healthcare, Inc.",KS,Healthcare Provider,14798.0,2023-12-16,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Erie Family Health Centers,IL,Healthcare Provider,6351.0,2023-12-16,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"AccessOne Medcard, Inc.",SC,Business Associate,8049.0,2023-12-15,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Eyefinity, Inc.",CA,Business Associate,1352.0,2023-12-14,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,Yes,Archived,3
"D'Youville Life and Wellness Community, Inc.",MA,Healthcare Provider,19691.0,2023-12-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Mount Carmel Care Center,MA,Healthcare Provider,1430.0,2023-12-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Discount Emporium, Inc. d/b/a Drug Emporium",WV,Healthcare Provider,2500.0,2023-12-14,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Independent Vision Group, LTD",WI,Healthcare Provider,2931.0,2023-12-13,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
City of Hope,CA,Healthcare Provider,902540.0,2023-12-12,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Health Diagnostic Management, LLC",NY,Business Associate,1863.0,2023-12-12,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Regional Family Medicine,AR,Healthcare Provider,80166.0,2023-12-12,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Cardiothoracic and Vascular Surgeons, P.A.",TX,Healthcare Provider,1868.0,2023-12-12,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Heart of Texas Behavioral Health Network,TX,Healthcare Provider,63776.0,2023-12-12,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Yorkshire Wellness Group, Corp.",NM,Healthcare Provider,1000.0,2023-12-12,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,No,Archived,1
"Healix Infusion Therapy, LLC",TX,Business Associate,10277.0,2023-12-11,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Keenan & Associates,CA,Health Plan,1475991.0,2023-12-11,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
Health Alliance Hospital Mary's Avenue Campus,NY,Healthcare Provider,264197.0,2023-12-11,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"New Partners, Inc. d/b/a VNS Health Personal Care",NY,Healthcare Provider,5175.0,2023-12-08,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
VNS CHOICE d/b/a VNS Health Health Plans,NY,Health Plan,13584.0,2023-12-08,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
"United Healthcare Services, Inc. Single Affiliated Covered Entity",CT,Health Plan,4264.0,2023-12-08,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
Mercy Medical Center,IA,Healthcare Provider,97132.0,2023-12-08,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Independent Living Systems, LLC",FL,Healthcare Provider,19303.0,2023-12-08,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
City of Homer,AK,Healthcare Provider,1412.0,2023-12-07,2023,Loss,Loss,Other Portable Electronic Device,No,Archived,1
Wichita Urology Group,KS,Healthcare Provider,5314.0,2023-12-07,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"Affinity Legacy, Inc.",NY,Health Plan,5538.0,2023-12-07,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Prime Healthcare,CA,Healthcare Provider,7185.0,2023-12-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Akumin Operating Corp.,FL,Healthcare Provider,7127.0,2023-12-06,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Hi-School Pharmacy,WA,Healthcare Provider,12779.0,2023-12-05,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Waterford Country School,CT,Healthcare Provider,6211.0,2023-12-05,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Pan-American Life Insurance Group, Inc.",LA,Business Associate,94807.0,2023-12-04,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
Leggett & Platt Incorporated Employee Benefit Fund,MO,Health Plan,1200.0,2023-12-04,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,2
Neurosurgical Associates of New Jersey,NJ,Healthcare Provider,32156.0,2023-12-04,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
4 Over LLC Group Health Plan,CA,Health Plan,6491.0,2023-12-04,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
"Pan-American Life Insurance Group, Inc.",LA,Health Plan,105387.0,2023-12-04,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
KY Cabinet for Health and Family Services (CHFS),KY,Healthcare Provider,2062.0,2023-12-03,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Strategic Management LLC,MS,Business Associate,1640.0,2023-12-03,2023,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
EMS Management and Consultants Inc.,NC,Business Associate,2654.0,2023-12-01,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,3
Cardiovascular Consultants Ltd.,AZ,Healthcare Provider,484000.0,2023-12-01,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
The Children’s Home of Wyoming Conference,NY,Healthcare Provider,1111.0,2023-12-01,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Neuromusculoskeletal Center of the Cascades, PC",OR,Healthcare Provider,19373.0,2023-12-01,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Community Healthcare Network, Inc.",NY,Healthcare Provider,500.0,2023-11-30,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"F&E Aviation Holdings, Inc.",FL,Health Plan,3097.0,2023-11-30,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
West Anaheim Medical Center,CA,Healthcare Provider,1166.0,2023-11-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
Chesapeake Regional Healthcare,VA,Healthcare Provider,31679.0,2023-11-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,0
"W.P. Malone, Inc. d/b/a AllCare Pharmacy",AR,Healthcare Provider,16341.0,2023-11-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"County of Rock, WI",WI,Healthcare Provider,10853.0,2023-11-29,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Fenway Community Health Center, Inc.",MA,Healthcare Provider,599.0,2023-11-29,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
Columbia County Child Abuse Assessment Center dba The Amani Center,OR,Healthcare Provider,760.0,2023-11-28,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Lakeview Healthcare System, LLC",FL,Healthcare Provider,2495.0,2023-11-27,2023,Theft,Theft,"Other Portable Electronic Device, Paper/Films",No,Archived,4
"Foursquare Healthcare, Ltd.",TX,Healthcare Provider,10890.0,2023-11-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Inline Plastics Corp.,CT,Health Plan,4853.0,2023-11-27,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,2
"Equality Health, LLC",AZ,Healthcare Provider,9240.0,2023-11-27,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Oak Street Health,IL,Healthcare Provider,3169.0,2023-11-24,2023,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Paper/Films,Yes,Archived,1
"Montrose Behavioral Health Hospital, Inc.",IL,Healthcare Provider,597.0,2023-11-24,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Morrison Community Hospital District,IL,Healthcare Provider,122488.0,2023-11-23,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Molina Healthcare of Iowa, Inc.",IA,Business Associate,1647.0,2023-11-22,2023,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
"Saisystems International, Inc.",CT,Business Associate,10063.0,2023-11-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
"Sierra County Department of Public Health, Department of Behavioral Health",CA,Healthcare Provider,2463.0,2023-11-22,2023,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"East River Medical Imaging, PC",NY,Healthcare Provider,605809.0,2023-11-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
The Charles Lea Center,SC,Healthcare Provider,1250.0,2023-11-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Northwest Eye Care Professionals,OR,Healthcare Provider,950.0,2023-11-22,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
Columbus Aesthetic and Plastic Surgery,OH,Healthcare Provider,12677.0,2023-11-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Berry, Dunn, McNeil & Parker, LLC",ME,Business Associate,2068426.0,2023-11-21,2023,Hacking/IT Incident,Hacking/IT Incident,Network Server,Yes,Archived,3
