Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Year,Type of Breach,Primary Breach Type,Location of Breached Information,Business Associate Present,Status,cluster
Hartford HealthCare,CT,Healthcare Provider,2651.0,2020-04-13,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Doctors Community Medical Center,MD,Healthcare Provider,18481.0,2020-04-13,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Saint Francis Ministries,KS,Healthcare Provider,3680.0,2020-04-10,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
Arizona Endocrinology Center,AZ,Healthcare Provider,74122.0,2020-04-10,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Electronic Medical Record,No,Archived,1
Corpus Christi Rehabilitation Hospital,TX,Healthcare Provider,507.0,2020-04-10,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Beacon Health Options, Inc.",MA,Business Associate,6723.0,2020-04-10,2020,Loss,Loss,Other Portable Electronic Device,Yes,Archived,3
Rehabilitation Hospital of Southern New Mexico,NM,Healthcare Provider,1843.0,2020-04-10,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
UPMC Altoona Regional Health Services,PA,Healthcare Provider,13911.0,2020-04-10,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,11852.0,2020-04-10,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
EVERSANA,WI,Healthcare Provider,5000.0,2020-04-07,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Colorado Department of Human Services, Office of Behavioral Health",CO,Healthcare Provider,8132.0,2020-04-07,2020,Unauthorized Access/Disclosure,Unauthorized Access/Disclosure,Network Server,No,Archived,1
"Healthcare Resource Group, Inc.",WA,Business Associate,5387.0,2020-04-07,2020,Hacking/IT Incident,Hacking/IT Incident,Email,Yes,Archived,3
Andrews Braces,NV,Healthcare Provider,16622.0,2020-04-07,2020,Hacking/IT Incident,Hacking/IT Incident,Network Server,No,Archived,0
"Doctors HealthCare Plans, Inc.",FL,Health Plan,500.0,2020-04-07,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,2
"New Jersey Urology, LLC",NJ,Healthcare Provider,3000.0,2020-04-06,2020,Hacking/IT Incident,Hacking/IT Incident,Email,No,Archived,0
"Child, Family and Community Services, Inc.",CA,Health Plan,1658.0,2020-04-03,2020,Theft,Theft,"Laptop, Other Portable Electronic Device",No,Archived,2
